event_id,start_s,end_s,duration_s,anomalous_samples,detection_source,primary_signals,triggered_rules,reason,ml_score,statistical_score,fused_score,flight_id
1,42.6,69.19999999999999,26.6,266,ml,yaw_rate_dps,,lateral band energy,64.14283012717188,10.166136446277633,64.14283012717188,101
2,148.4,150.79999999999998,2.4000000000000004,24,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,1.8678726975435451,1.5357385465639355,1.8678726975435451,101
3,257.0,259.90000000000003,2.9000000000000004,29,ml,ias_kt,,local airspeed residual,29.00894477616823,7.660410546072514,29.00894477616823,101
4,357.5,370.3,12.8,128,ml,engine_rpm,,local RPM residual,52.31417012581523,11.254014815006965,52.31417012581523,101
5,477.9,479.90000000000003,2.0,20,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,4.130395545821906,1.9725732137931427,4.130395545821906,101
6,482.2,484.1,1.9000000000000001,13,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,2.9600579676475083,1.790708111362484,2.9600579676475083,101
7,485.2,487.8,2.6,8,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,2.7471139817127095,1.7595111371835261,2.7471139817127095,101
8,490.4,491.90000000000003,1.5,13,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,2.9079799470359498,1.8809402618979167,2.9079799470359498,101
9,510.6,525.2,14.600000000000001,137,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,15.374809514645138,4.806569583446306,15.374809514645138,101
1,45.5,65.0,19.5,195,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,13.800271628740052,4.162406920302519,13.800271628740052,113
2,67.1,80.5,13.4,134,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,38.733589286724246,9.80648552310214,38.733589286724246,113
3,150.5,173.7,23.200000000000003,232,ml,roll_deg,,lateral band energy,33.879228994438876,6.18229473214299,33.879228994438876,113
4,262.9,263.90000000000003,1.0,10,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,1.8025175482315419,0.8106420510701025,1.8025175482315419,113
5,365.4,366.8,1.4000000000000001,14,ml,ias_kt,,local airspeed residual,39.400874526634034,9.68473331222067,39.400874526634034,113
6,467.6,482.3,14.700000000000001,147,ml,engine_rpm,,local RPM residual,33.29527321824826,7.765120778302665,33.29527321824826,113
1,51.5,53.4,1.9000000000000001,19,ml,ias_kt,,local airspeed residual,18.311340489336725,5.392297958619885,18.311340489336725,127
2,159.3,174.4,15.100000000000001,151,ml,engine_rpm,,local RPM residual,16.101421087267006,4.452758326633869,16.101421087267006,127
3,251.9,277.5,25.6,256,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,13.769650559397208,4.332944386602446,13.769650559397208,127
4,280.1,293.5,13.4,133,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,38.26037404377326,9.758366856167402,38.26037404377326,127
5,367.2,370.5,3.3000000000000003,33,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,1.2554740435149476,1.14547851417311,1.2554740435149476,127
6,469.7,496.5,26.8,268,ml,yaw_rate_dps,,lateral band energy,76.32854594672379,10.905250363447625,76.32854594672379,127
1,52.8,55.0,2.2,22,ml,ias_kt,,local airspeed residual,8.5944274029949,3.3003596421576096,8.5944274029949,139
2,148.9,156.2,7.300000000000001,73,ml,engine_rpm,,local RPM residual,20.315354027607626,5.357371573685545,20.315354027607626,139
3,263.6,280.6,17.0,170,ml,roll_deg,,lateral band energy,67.85650460608787,11.984606232357779,67.85650460608787,139
4,361.9,394.3,32.4,323,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,13.260663161148582,4.11603667739824,13.260663161148582,139
5,396.6,412.6,16.0,160,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,42.20148836759536,10.608100108749495,42.20148836759536,139
6,472.1,474.70000000000005,2.6,26,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.148740492434792,1.0086219493742123,2.148740492434792,139
1,46.0,73.3,27.3,273,ml,roll_deg,,lateral band energy,61.20948840118428,10.03496369505274,61.20948840118428,151
2,148.8,173.5,24.700000000000003,246,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,8.61754496371761,2.644470515406918,8.61754496371761,151
3,177.2,188.0,10.8,107,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,15.827761595792238,4.195056845828282,15.827761595792238,151
4,263.0,267.5,4.5,45,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.306959110285452,0.5384340636262601,2.306959110285452,151
5,365.1,366.0,0.9,9,ml,ias_kt,,local airspeed residual,18.424246603263942,5.115354299157191,18.424246603263942,151
