anomaly_type,samples,detected,recall,flight_id
airspeed_spike,29,29,1.0,101
altitude_drift,506,178,0.35177865612648224,101
lateral_oscillation,262,262,1.0,101
engine_rpm_drop,128,128,1.0,101
sensor_dropout,24,24,1.0,101
airspeed_spike,14,14,1.0,113
altitude_drift,314,290,0.9235668789808917,113
lateral_oscillation,237,232,0.9789029535864979,113
engine_rpm_drop,147,147,1.0,113
sensor_dropout,10,10,1.0,113
airspeed_spike,19,19,1.0,127
altitude_drift,375,348,0.928,127
lateral_oscillation,268,267,0.996268656716418,127
engine_rpm_drop,151,151,1.0,127
sensor_dropout,33,33,1.0,127
airspeed_spike,22,22,1.0,139
altitude_drift,456,433,0.9495614035087719,139
lateral_oscillation,159,159,1.0,139
engine_rpm_drop,73,73,1.0,139
sensor_dropout,26,26,1.0,139
airspeed_spike,9,9,1.0,151
altitude_drift,390,341,0.8743589743589744,151
lateral_oscillation,272,272,1.0,151
engine_rpm_drop,166,166,1.0,151
sensor_dropout,45,45,1.0,151
airspeed_spike,14,14,1.0,163
altitude_drift,605,160,0.2644628099173554,163
lateral_oscillation,123,123,1.0,163
engine_rpm_drop,119,119,1.0,163
sensor_dropout,48,48,1.0,163
airspeed_spike,9,9,1.0,179
altitude_drift,454,434,0.9559471365638766,179
lateral_oscillation,218,218,1.0,179
engine_rpm_drop,89,89,1.0,179
sensor_dropout,29,29,1.0,179
airspeed_spike,28,28,1.0,191
altitude_drift,567,546,0.9629629629629629,191
lateral_oscillation,217,217,1.0,191
engine_rpm_drop,125,125,1.0,191
sensor_dropout,46,46,1.0,191
