event_id,start_s,end_s,duration_s,anomalous_samples,detection_source,primary_signals,triggered_rules,reason,ml_score,statistical_score,fused_score,flight_id
1,45.3,67.1,21.8,218,ml,roll_deg; yaw_rate_dps,,lateral band energy,37.40592554997723,5.397998605539182,37.40592554997723,1009
2,152.5,154.6,2.1,21,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.1458346550636396,0.8868590357996275,2.1458346550636396,1009
3,258.4,258.90000000000003,0.5,5,ml,ias_kt,,local airspeed residual,23.654068615683332,6.549924680227341,23.654068615683332,1009
4,363.7,370.40000000000003,6.7,67,ml,engine_rpm,,local RPM residual,59.94438469706011,12.672427687930705,59.94438469706011,1009
5,465.9,511.0,45.1,451,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,11.950399334349385,3.636947083441654,11.950399334349385,1009
6,513.3,533.2,19.900000000000002,199,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,34.0213410577846,8.823863998324128,34.0213410577846,1009
1,52.3,90.0,37.7,377,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,16.97148040610385,4.381000294563266,16.97148040610385,1031
2,91.8,110.5,18.7,187,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,47.873625453300065,11.668925855002417,47.873625453300065,1031
3,155.6,157.2,1.6,16,ml,ias_kt,,local airspeed residual,47.90207685306888,11.345284559320849,47.90207685306888,1031
4,258.9,266.20000000000005,7.300000000000001,73,ml,engine_rpm,,local RPM residual,64.15154723144359,13.400645640314599,64.15154723144359,1031
5,356.8,373.5,16.7,167,ml,roll_deg,,lateral band energy,68.6656521660602,10.509848606579315,68.6656521660602,1031
6,467.7,471.6,3.9000000000000004,39,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.0114151431633833,0.563804523129192,2.0114151431633833,1031
1,44.9,51.5,6.6000000000000005,66,ml,engine_rpm,,local RPM residual,17.010633319965084,4.636255973156475,17.010633319965084,1061
2,157.1,195.2,38.1,371,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,63.86831735314638,15.309702762008332,63.86831735314638,1061
3,264.5,268.70000000000005,4.2,42,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.5990585463900286,0.6992132380124851,2.5990585463900286,1061
4,356.5,358.1,1.6,16,ml,ias_kt,,local airspeed residual,11.980562365387959,3.877253539429506,11.980562365387959,1061
5,470.3,483.20000000000005,12.9,129,ml,roll_deg,,lateral band energy,59.92290922672013,8.885563658117068,59.92290922672013,1061
1,47.9,76.39999999999999,28.5,285,ml,roll_deg,,lateral band energy,76.95356895752947,11.86853728444232,76.95356895752947,1091
2,150.0,181.5,31.5,315,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,23.281540621472242,6.342669516875807,23.281540621472242,1091
3,183.0,199.1,16.1,161,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,70.51269172051364,16.706791752230604,70.51269172051364,1091
4,253.9,256.20000000000005,2.3000000000000003,23,ml,ias_kt,,local airspeed residual,18.930957576642285,5.334019041805103,18.930957576642285,1091
5,358.5,359.1,0.6000000000000001,6,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,1.6700071839616537,0.807073706169917,1.6700071839616537,1091
6,472.0,488.90000000000003,16.900000000000002,169,ml,engine_rpm,,local RPM residual,39.21787979140262,8.786502707840107,39.21787979140262,1091
1,0.0,1.2000000000000002,1.2000000000000002,9,ml,nz_g; yaw_rate_dps,,lateral band energy,4.198545137451894,1.714512778529192,4.198545137451894,1151
2,44.4,45.300000000000004,0.9,9,ml,ias_kt,,local airspeed residual,39.76796660020589,9.754695937862076,39.76796660020589,1151
3,152.4,153.29999999999998,0.9,9,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,1.9928445635145284,0.5087868781076654,1.9928445635145284,1151
4,262.1,272.40000000000003,10.3,103,ml,engine_rpm,,local RPM residual,31.55612971958087,7.398567564630999,31.55612971958087,1151
5,367.1,402.20000000000005,35.1,351,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,11.188810330864866,3.541809886776095,11.188810330864866,1151
6,404.8,422.40000000000003,17.6,176,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,38.9281125227264,9.729366727452609,38.9281125227264,1151
7,465.6,480.1,14.5,145,ml,roll_deg; yaw_rate_dps,,lateral band energy,58.30518211042762,7.665895662584471,58.30518211042762,1151
1,50.7,55.300000000000004,4.6000000000000005,46,engineering rule,missing sensor measurement,sensor dropout; missingness preserved before interpolation,sensor dropout; missingness preserved before interpolation,2.192104950837965,0.5534461470300434,2.192104950837965,1181
2,156.6,159.2,2.6,26,ml,ias_kt,,local airspeed residual,40.141416446889394,9.64283149275176,40.141416446889394,1181
3,259.0,267.8,8.8,88,ml,engine_rpm,,local RPM residual,79.03287890402862,16.132628022912456,79.03287890402862,1181
4,363.5,389.90000000000003,26.400000000000002,264,ml,yaw_rate_dps,,lateral band energy,71.0782866075681,11.000075322829337,71.0782866075681,1181
5,472.2,505.90000000000003,33.7,337,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,17.761855851602995,4.424606374145815,17.761855851602995,1181
6,507.5,524.7,17.2,172,ml,"altitude_ft, vertical_speed_fps",,cross-sensor trend inconsistency,48.15535020738337,11.563747977885475,48.15535020738337,1181
