model,dataset,feature_set,samples,precision,recall,f1,tp,fp,fn,tn,duration_h,true_events,reported_events,matched_events,missed_events,false_reported_events,event_precision,event_recall,event_f1,unmatched_overlapping_reports,duplicate_detection_rate,mean_matched_iou,mean_signed_onset_error_s,false_events_per_hour,mode,threshold,per_flight_f1_min,per_flight_f1_max,macro_type_recall,objective
V1 baseline IF,V1 validation,V1,12001,0.42214912280701755,0.3719806763285024,0.39548022598870053,385,527,650,10439,0.3333611111111111,5,27,3,2,24,0.1111111111111111,0.6,0.18750000000000003,0,0.0,0.9342275343072174,-0.9666666666666591,71.99400049995833,,,,,,
V1 engineered IF,V1 validation,V1,12001,0.7320359281437125,0.47246376811594204,0.5742806811509101,489,179,546,10787,0.3333611111111111,5,7,5,0,2,0.7142857142857143,1.0,0.8333333333333333,2,0.2857142857142857,0.8097453231766861,6.6200000000000045,5.999500041663195,,,,,,
V1 rules,V1 validation,V1,12001,0.7038123167155426,0.463768115942029,0.5591147350029121,480,202,555,10764,0.3333611111111111,5,5,3,2,2,0.6,0.6,0.6,1,0.2,0.8915857605177991,6.133333333333326,5.999500041663195,,,,,,
V1 hybrid,V1 validation,V1,12001,0.6957250628667225,0.8019323671497585,0.7450628366247756,830,363,205,10603,0.3333611111111111,5,6,5,0,1,0.8333333333333334,1.0,0.9090909090909091,0,0.0,0.87014916745904,3.6799999999999953,2.9997500208315975,,,,,,
V1 baseline IF,V1 historical final,V1,12001,0.3950617283950617,0.3628865979381443,0.3782912412681354,352,539,618,10492,0.3333611111111111,5,23,3,2,20,0.13043478260869565,0.6,0.21428571428571427,0,0.0,0.8009454932531884,-2.033333333333284,59.995000416631946,,,,,,
V1 engineered IF,V1 historical final,V1,12001,0.6086956521739131,0.36082474226804123,0.4530744336569579,350,225,620,10806,0.3333611111111111,5,7,3,2,4,0.42857142857142855,0.6,0.5,1,0.14285714285714285,0.9157918975250064,-0.03333333333330302,11.99900008332639,,,,,,
V1 rules,V1 historical final,V1,12001,0.5951492537313433,0.3288659793814433,0.42363877822045154,319,217,651,10814,0.3333611111111111,5,5,3,2,2,0.6,0.6,0.6,1,0.2,0.8220238095238096,9.666666666666666,5.999500041663195,,,,,,
V1 hybrid,V1 historical final,V1,12001,0.6129032258064516,0.6659793814432989,0.6383399209486166,646,408,324,10623,0.3333611111111111,5,6,5,0,1,0.8333333333333334,1.0,0.9090909090909091,0,0.0,0.837530052551443,5.780000000000018,2.9997500208315975,,,,,,
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9233226837060704,0.9720569210866752,0.94706327199395,3757,312,108,31823,1.0,25,29,25,0,4,0.8620689655172413,1.0,0.925925925925926,4,0.1379310344827586,0.918277994449486,-0.3280000000000009,4.000000000000001,ml,2.0,0.0,0.9555808656036446,0.9900638899258706,0.9493221917599268
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9233226837060704,0.9720569210866752,0.94706327199395,3757,312,108,31823,1.0,25,29,25,0,4,0.8620689655172413,1.0,0.925925925925926,4,0.1379310344827586,0.918277994449486,-0.3280000000000009,4.000000000000001,or,2.0,0.0,0.9555808656036446,0.9900638899258706,0.9493221917599268
